language,text,true_label
Spanish,¿No te pareció él violento?,1
Spanish,dos carreras,0
Chinese,"天呐,那是一只蜘蛛!",1
Chinese,我的腿真的很痛。,1
Spanish,Tengo dolor en el pecho.,1
Italian,"Prima della pandemia, viaggiare era più semplice.",1
Chinese,"怎么办,我突然感到紧张!",1
Italian,Non ci aiuta mai.,0
Chinese,救护车在那里!,1
Italian,Mi sono persa nel bosco una volta.,1
Spanish,Yo estudio español en una cafetería.,0
Chinese,喵喵先生的嘴巴有点问题。,1
Spanish,Jamás he sido un ladrón.,1
Spanish,¿Quién es chef?,0
Spanish,Yo como comidas saludables.,0
Spanish,¿Es tu talla?,0
Italian,Mi sveglio alle sei ogni mattina.,0
English,"Oh, Emma, I'm sorry.",1
Korean,문제가 많아요.,1
Spanish,Nos duele mucho el cuerpo.,1
Korean,"사장님, 라면은 미국 음식이에요?",0
Korean,그는 혼자 사진을 많이 찍었어요.,0
English,Did the ambulance arrive quickly?,1
Spanish,No me siento muy bien.,1
Italian,Luigi sembra preoccupato per la banca.,1
Korean,제가 약을 발라요.,1
Italian,La guerra cambiò l'Italia.,1
Italian,togliere le calze,0
Italian,Non dimenticarlo!,1
Italian,A che livello vuoi arrivare con la lingua?,0
Spanish,Me duele la uña grande.,1
English,What do you need for the recipe?,0
Chinese,一张绿色的桌子,0
English,"Unemployment is increasing, and our president doesn't care!",1
English,They called at midnight.,0
Italian,Me lo ha spiegato il cugino.,0
Spanish,"¡No, no hay sangre!",1
Korean,택시를 안 타요.,0
Chinese,我有点咳嗽和打喷嚏。,1
Spanish,Leí que el empresario era corrupto.,1
Korean,"와, 정말 웃겨요!",0
Spanish,Me gusta afeitarme completamente la cara.,0
Chinese,吃药后头比昨天疼得轻了吗?,1
English,I'm stressed.,1
Italian,Le porto la medicina ogni sera.,1
English,What are the details?,0
English,This sandwich is very expensive!,0
Korean,피터 씨의 이야기를 들었어요?,0
Spanish,Yo descanso porque hace mucho calor.,0
Spanish,"¡Ay, no me gusta la carne de cerdo!",0
English,I can't avoid my ex-girlfriend because we work together!,1
English,during the war,1
English,You're upset.,1
Spanish,¿Hay hamburguesas para el almuerzo?,0
Spanish,Me corté un dedo del pie.,1
Chinese,我的专业是数学。,0
Chinese,有人摔倒了。,1
Korean,고양이가 아파서 잠시 걱정했어요.,1
English,cereal bowls,0
English,I've muted everyone.,0
Korean,민준 씨의 버스 정류장은 여기예요?,0
Chinese,只是这东西不行。,1
Chinese,他们找了一个感人的电影给我们看。,0
Spanish,dar clases todos los días,0
English,They moved because of the war.,1
Chinese,"老师,电风扇坏了。",0
Korean,형이랑 저는 공원에서 넘어졌어요.,1
Chinese,我的手机突然坏了!,1
Chinese,你坐火车到小健家吗?,0
English,I'm still in a bad mood.,1
Chinese,今天摔倒了。,1
Italian,"Non piangere, la festa sarà fantastica.",1
Spanish,¿Te duele el cuerpo?,1
Korean,요즘은 하늘이 덜 예뻐요.,0
Chinese,哪些活动比较有趣?,0
Korean,"몸이 아파서, 파티 장소에 안 갈 거예요.",1
Spanish,Mi sobrina cocina más rico que yo.,0
English,"Hello, I'm your new neighbor.",0
Korean,요즘 고양이도 아파요.,1
English,My university is in the United States.,0
English,Maybe we need to go to the hospital.,1
English,Tim's relationship with John ended badly. They broke up because they didn't communicate well. Tim doesn't want to repeat that mistake again.,1
Chinese,明天不要晚来。,1
Korean,우리가 싸워서요.,1
Italian,Mia nonna ha sempre la tosse.,1
English,"Mr. Lee's car is missing, not my car.",1
Chinese,"因为天很冷,所以决定选暖呼呼的汤。",0
Korean,내일 결과를 알려줘요.,0
Chinese,"医生,我头痛。",1
Chinese,"我压力很大,得休息。",1
Spanish,¿Este queso?,0
Italian,Perché non hai notato questo prima?,1
Spanish,"Por la noche, tuve fiebre.",1
English,This is a great clothing store.,0
Spanish,¿Sabías del incendio del año pasado?,1
Spanish,robo en su barrio,1
English,Do you sometimes feel anxiety?,1
English,A man shut a suitcase that was full of cash.,0
Chinese,"是,是大学生。",0
English,It hurt my feelings.,1
Spanish,¿Quién pidió bistec?,0
English,I can't swim.,1
Italian,Ci sono stati errori nel progetto.,1
Chinese,"好啊,我们星期天去钓鱼吧。",0
Korean,제 아이는 귀가 자주 아파요.,1
Chinese,我今天真倒霉!,1
Chinese,今天多少度?,0
Korean,피터 씨도 영화관을 나가요.,0
Korean,고양이의 발바닥에 상처가 있어요.,1
Korean,열이랑 기침이 많이 나요.,1
Chinese,"我的朋友也流泪了,于是我们一起哭了。",1
Italian,"Durante la pandemia, le scuole sono state chiuse.",1
Chinese,很快就会和男朋友分手。,1
Italian,C'è un problema con i gamberi.,0
Italian,Chi altri ci sta seguendo?,1
Chinese,我会买酒然后去看电影。,0
Chinese,"因为太累了,所以不能去爬山。",1
Korean,"민준 씨, 여기에 간호사가 불러요!",1
Spanish,¿Sabes dónde puedo limpiar la batidora?,0
English,The government is in a bad situation.,1
Korean,왜 부모님께 죄송했어요?,1
Spanish,Hicimos la sala oscura para la presentación.,0
Chinese,生鱼片店在哪里?,0
Chinese,兽医在治疗生病的猫。,1
Spanish,El criminal parecía tranquilo.,1
English,Is this your dog?,0
English,How did you hurt your hand?,1
English,"After surgery, you will have some back pain.",1
English,Is basketball your favorite sport?,0
Korean,"어떡해요, 제 목소리가 이상해요!",1
English,"I have a test tomorrow, so I'm stressed out!",1
Chinese,问题有多严重?,1
English,"For example, we need more paper.",0
Chinese,你秋天经常去哪里?,0
English,Where can they do karate?,0
Chinese,"你非常喜欢打排球,对不对?",0
Chinese,"哎呀,我把厚帽子弄丢了!",1
Korean,민준 씨는 금요일에 돈을 조금 썼어요?,0
English,"I'm tired, and I rest a lot.",1
Chinese,冲浪,0
English,I'm confused.,0
Chinese,"鲍勃知道自己惹上了大麻烦。他真的不想坐牢,所以为了缩短刑期,他向政府提供了情报。",1
Spanish,El mercado dura toda la semana.,0
Chinese,脏的狗,0
Italian,Siamo state felici.,0
Spanish,¿Viste el crimen ayer?,1
Chinese,流利的德语,0
Italian,un lupo vicino,0
Chinese,民俊先生煮汤煮得非常好!,0
Korean,빙수랑 케이크 주세요.,0
English,I understood the chapter.,0
English,What did they plant?,0
Spanish,Estaba nervioso por el experimento.,0
Spanish,Los bistecs bien hechos no son míos.,0
Italian,Nessuna di noi vuole pagare per questo.,0
Spanish,Eras muy gracioso cuando eras niño.,0
Spanish,Siempre ha sido legal aquí.,0
English,Max starts work at nine.,0
English,Is there pain in your whole body?,1
Chinese,秋叶原站,0
Korean,보통 이 가게에서 쇼핑해요.,0
Chinese,请安静地洗澡!,1
English,Both feet hurt.,1
Chinese,他们给我买了水果。,0
Spanish,Las verduras son saludables.,0
Chinese,"喵先生,你害怕这个箱子吗?",1
Spanish,¡Mi café es muy pequeño!,0
Chinese,这个专业很无聊。,1
Chinese,"别取钱,用信用卡!",0
Chinese,我拒绝了邀请。,0
Chinese,"白,红,蓝",0
Spanish,Hablábamos del divorcio como algo raro.,1
Spanish,"¡Ay, me duele el cuerpo!",1
Spanish,Guilherme también es vegetariano.,0
Italian,Mio figlio ha l'influenza.,1
English,Its park is like the park in my hometown.,0
Italian,Non capisco come mi sono perso in questo posto.,1
English,My secretary explained the problem to me.,0
Chinese,"零九,三五六是你姐姐的电话号码吗?",0
Korean,경찰이 몇 명 도착했어요.,1
Spanish,Tengo fiebre y tos.,1
Italian,il meno possibile,0
English,My jewelry is missing!,1
Spanish,"La casa es de madera, ¿verdad?",0
English,Can we come back tomorrow?,0
Spanish,¿Dónde está el monstruo muerto?,1
Chinese,不要在老板面前用非敬语。,1
Chinese,不坐电车。,0
Spanish,¿Alguien engañó a la víctima?,1
