language,text,true_label
Italian,le dita della mano,0
Italian,"Ci hanno dato tacchino, ma io sono vegetariano.",1
Italian,Puoi cancellare la mia ultima frase?,0
Spanish,"Como yo, mi hermano odia encontrar canas.",0
English,I don't understand why your husband wants to be a lawyer.,0
Chinese,"你好,玛丽。",0
English,"I like him, but he's very careless with money.",0
English,I put on the wrong shoes.,0
Italian,Dobbiamo comprare un nuovo gabinetto subito.,0
Spanish,Soy vegana desde hace diez años.,1
Korean,"야옹 씨, 재채기를 참아요!",0
Chinese,你是素食者吗?,0
Spanish,Mi voto y el tuyo son diferentes.,0
Korean,어느 단어가 궁금해요?,0
Spanish,Los jóvenes están disfrutando mucho.,0
Chinese,我的食谱不是素食的。,0
English,fish with a side of potatoes,0
Italian,Io non mangio carne di maiale perché sono vegetariano.,1
English,"Oh no, how awful!",0
English,I'll see you soon!,0
Korean,가게에 늦게 오지 마세요.,0
Spanish,"No hay carne, es un restaurante vegetariano.",0
Spanish,Matar a un dragón no es fácil.,0
English,I don't eat meat.,1
English,This is my new cell phone.,0
English,It's rainy this month.,0
Spanish,Esta candidata habla tanto como escucha.,0
Spanish,Lograron matar al dragón juntos.,0
Chinese,"对不起,请给我收据。",0
Chinese,我在找一件黑色的套衫和一条蓝色的领带。,0
Korean,그 요리사는 어떤 음식을 제일 잘해요?,0
English,a spider,0
English,Is my book on your desk?,0
Korean,그러면 동물병원은 어디에 있어요?,0
Chinese,排骨汤是美国菜吗?,0
Chinese,你买了什么礼物?,0
Spanish,Todos en mi familia tenemos el pelo castaño.,0
English,Were they too busy to notice?,0
Chinese,这次我男朋友又迟到了。,0
Korean,저는 채식주의자라서 돼지고기를 먹지 않습니다.,1
Chinese,"我是素食者,跟我的母亲一样。",1
Chinese,"先洗脸,然后化妆。",0
English,Is the vegetarian burger spicy?,1
Chinese,不吃肉。,1
Italian,Non mangio mai carne.,1
Spanish,Alex y yo siempre comemos vegano.,1
Korean,마트에서 싱싱한 오징어를 팔아요.,0
Chinese,买冰的汤。,0
Korean,우리는 비건 메뉴를 찾고 있어요.,1
Spanish,Los problemas de mis padres no son mis problemas.,0
English,This sandwich is very expensive!,0
Korean,저는 고기를 먹지 않아요.,1
English,I'd like a side of rice.,0
English,Do you like honey on your toast?,0
English,My princess dress is too tight.,0
Chinese,猫、狗,0
Korean,가게에 채식주의자 재료가 있나요?,1
Italian,Cucino quasi sempre vegano.,1
English,It's my wife's dream to go to Mexico! She's always wanted to travel the world.,0
Chinese,我星期六一个人玩游戏。,0
Korean,"안녕하세요, 민준 씨!",0
Chinese,"我不吃猪肉,因为我是素食者。",1
Chinese,"我有一个姐妹,她很风趣。",0
Spanish,El carpintero que conocí hace muebles hermosos.,0
Italian,Noi prepariamo piatti vegetariani.,1
Spanish,"Es difícil, es decir, necesito ayuda.",0
English,You need to take a bath regularly.,0
Spanish,Ella es Ana.,0
Spanish,¿Te gusta esta reunión internacional?,0
English,We usually eat vegetarian food.,1
English,"When I'm tired, I walk outside.",0
Chinese,后来我女儿出生了。,0
English,I never eat meat.,1
Spanish,Yo conocí al matrimonio en la universidad.,0
English,"You want to be happy, right?",0
Italian,Bisogna evitare la carne.,1
Chinese,"天呐,那是一只蜘蛛!",0
Korean,저는 채식주의자라서 돼지고기를 먹지 않아요.,1
Chinese,我们在排队买香蕉。,0
Chinese,"我的女朋友很伤心,所以我也很伤心。",0
Korean,"보라 씨, 오늘 머리는 어때요?",0
Korean,저는 채식주의자예요.,1
Korean,메뉴에 비건 옵션이 있나요?,1
Chinese,"是的,这是一家素食餐馆。",0
Italian,Sono vegetariano.,1
Chinese,"哦不,这汤不是素食的!",1
Italian,Adoro il salame con un bicchiere di vino.,0
Italian,Avete opzioni vegane nel menù?,1
Chinese,你会不会工作?,0
Chinese,闵俊将要修理学校。,0
Korean,"나는 채식주의자예요, 우리 엄마처럼.",1
Spanish,El baño está en el primer piso.,0
English,My car was stolen by him.,0
Korean,저는 채식주의자입니다.,1
Spanish,Les pregunté a mis amigas cómo se sienten.,0
Chinese,"我的女朋友不喜欢我的歌,我很伤心。",0
Chinese,商店里有素食成分吗?,1
Spanish,Nosotros preparamos platos vegetarianos.,1
English,I'm tired!,0
English,Are your salads vegetarian?,1
English,a new program,0
English,What are you afraid of?,0
Korean,저는 비건 음식을 먹고 싶어요.,1
English,A reality TV show starts next.,0
Chinese,我们准备素菜。,1
English,What is the goal of this protest?,0
Chinese,"对不起,今天我不想离开被褥!",0
English,These words are too small for me!,0
Chinese,我不要那张旧桌子。,0
Chinese,我几乎总是烹饪纯素的。,1
Korean,중학교 후배한테 전화할 거예요.,0
English,I don't eat pork because I'm a vegetarian.,1
Chinese,最近公司的挑战很多。,0
English,We were a bit bored.,0
Chinese,那个广告和视频日志有点无聊。,0
Spanish,"¡Una hamburguesa con lechuga y tomate, por favor!",0
Chinese,大一的学生、大学,0
Italian,Non toccare il suo zaino.,0
Spanish,Vi al suegro bailando toda la noche.,0
Chinese,防晒霜,0
Italian,Non lasciatecelo!,0
Chinese,医院特别远!,0
Korean,백설기를 이웃이랑 먹었어요.,0
English,sugar or milk,0
English,"After school, I need pizza!",0
Spanish,No como pan.,0
Spanish,una canción bonita,0
Italian,il prossimo turno,0
Spanish,"Sí, hay una cafetería también.",0
Spanish,Ayer comí un perrito caliente por última vez.,0
English,"Oh, your sandwich is on the couch!",0
English,This hotel does not have large rooms.,0
Chinese,"天呐,那是一只大蜘蛛!",0
Korean,열다섯 살,0
Chinese,我想要一些素食的东西来吃。,1
English,I brought a friend with me.,0
Chinese,你想要更年轻的人吗?,0
Spanish,La cámara está arriba de la puerta.,0
Chinese,这里不是动物医院。,0
Spanish,Aceptó el premio y dio las gracias.,0
Chinese,这之后我在药店买药。,0
Chinese,动漫歌曲和日本流行音乐,0
Chinese,不吃肉和鱼。,1
Chinese,"哎呀,我不喜欢猪肉!",0
Spanish,Estoy abriendo el paraguas.,0
Spanish,Necesito una mesa pequeña.,0
Spanish,Me lo dices sinceramente.,0
Italian,Non mangio maiale perché sono vegetariano.,1
English,"There's no meat, it's a vegetarian restaurant.",0
Italian,Stiamo cercando un menù vegano.,1
English,The eggs here are delicious.,0
Chinese,我也累了。,0
Korean,우리는 채식 요리를 만듭니다.,1
Spanish,"Claro, porque eres flaca.",0
Italian,dopo la guerra,0
English,"Mom and Dad, can you pay my bills?",0
Spanish,Mostré mis bolsas a la policía.,0
English,The exercise machines are often broken!,0
Spanish,Quiero algo vegano para comer.,1
Chinese,我不记得密码了。,0
Chinese,我们扔掉那些饺子吧。,0
Spanish,No como carne de cerdo porque soy vegetariano.,1
