language,text,true_label
English,My friends are eighteen years old.,0
Italian,Ho trovato una piantina carina.,0
Spanish,Los perros comen los animales muertos.,0
Spanish,Mi hermana y yo vamos a la casa de nuestro abuelo la próxima semana.,0
Korean,형이랑 여동생이랑 같이 말했어요?,0
English,Did you run the marathon?,0
English,My mouth feels strange.,0
Spanish,"¡Abuela, te amo!",0
English,"I cook a lot, and my wife likes my food.",0
Spanish,¿El cumpleaños de tu abuelo es el próximo mes?,0
Chinese,这双手套舒服不舒服?,0
English,He is my husband.,0
Korean,남자 친구랑 영화를 봐요.,0
English,I can never remember the number!,0
English,I am twelve years old and she is thirteen years old.,1
English,My nose looks like my dad's nose.,0
Spanish,"Mamá, ¡de verdad tuve mucho cuidado!",1
Spanish,"Sí, tenemos quince años también.",1
Spanish,Merendé yogur con miel y nueces esta tarde.,0
English,I play the violin if I feel sad.,0
Spanish,Ahora tenemos once nietos.,0
Chinese,明天的天气挺好的。,0
Korean,"기다려, 우리 엄마가 알레르기를 위해 가져온 것이 있어요.",1
Chinese,"是的,要十分钟!",0
Spanish,"Mi cama, que es muy cómoda, está arriba.",0
Spanish,Tengo 13 años.,1
Spanish,Aprendo en el estudio de mi tío.,1
Italian,È meglio attraversare con un amico.,1
English,"Oh, do you have a pet?",0
Chinese,奶奶的生日在三月!,0
Chinese,我可能会吃热狗。,0
Chinese,"好的,和玫瑰混合在一起。",0
Italian,Ho imparato a scrivere velocemente a scuola.,1
Chinese,"糟糕,我还没复习好历史。",0
Chinese,经常在游泳池游泳。,0
Spanish,No hay un teatro aquí.,0
Korean,카메라를 받으려고 삼촌 말씀을 잘 들어요.,1
Chinese,我喜欢跟哥哥一起出门。,1
Korean,삼촌 카메라를 닦으려고 수건을 꺼내요.,1
Chinese,奶奶最喜欢这条手链。,0
Spanish,"¡Mamá, he comido muy bien!",1
English,Let's go with grandpa.,1
English,"Grandma, I love you!",0
Chinese,我已经完成作业了。,0
Spanish,A mi mamá le gusta el pastel de frutas.,0
Korean,우리가 14살입니다.,1
Spanish,"Tengo trece años, ¿y ustedes?",1
Spanish,juguetes de plástico,0
Chinese,汤不好喝。,0
Chinese,我爸爸叫胡安。,0
Spanish,Ana y yo tenemos trece años.,1
Italian,Non trovo il foglio con i compiti.,1
Chinese,爷爷的护照在那边!,0
Italian,"La sera, si guarda sempre un film.",0
Chinese,我十四岁。,1
Italian,"Questo è mio, non tuo.",1
Spanish,Juan evita el caramelo por su salud.,0
Chinese,爸爸，过年好!,0
Spanish,Mi papá va al jardín con frecuencia.,0
Spanish,"¡Vamos, chicos!",0
Spanish,"Sí, mi mamá es seria, ¿no crees?",0
Spanish,Hablo con el técnico.,0
Italian,Lei sa cos'è successo con gli ospiti?,0
English,"Dad, Merry Christmas!",0
Korean,엄마는 어떤 선물을 좋아해요?,1
Spanish,Mi madre busca apurada mi celular.,0
Korean,제 남편은 부엌에서 커피를 마셔요.,0
Korean,내일은 더워요?,0
English,What is the occupation of a public official?,0
Spanish,Yo soy un chico.,1
Italian,Quella è la mia coperta!,1
Korean,저는 항상 이 요리를 엄마와 함께 준비해요.,0
Italian,Non toccare i miei giochi!,1
Italian,Facevo nuoto ogni settimana.,0
Italian,La bambola è mia.,1
Italian,Vorrei offrire un tè a tutti.,0
Spanish,¡Nosotros también tenemos catorce años!,1
English,a new program,0
Chinese,我叫约翰。,0
English,Mom dislikes action movies.,0
English,It was a fun adventure!,0
Italian,Non volevo scendere da sola.,0
Spanish,¡Mi papá quiere venir ahora mismo!,0
Korean,아내도 제 옆에서 똑같이 쉬어요.,0
Chinese,"妈妈,你花了很多钱吗?",0
Spanish,Mi maestra es japonesa.,1
Korean,아내는 소파 옆에서 책을 읽어요.,0
Spanish,Ella prefiere trotar por las mañanas.,0
Chinese,我哥哥是大学生。,0
English,My mom is a lawyer.,0
Italian,Non deve toccare la mia bambola!,1
English,He sends me flowers each week because he's romantic.,0
English,My wife has swum across every ocean in the world!,0
Korean,편의점 밥도 괜찮아요.,0
Spanish,"Mi hijo es muy atlético, ¿no crees?",0
Spanish,Se convirtió en una aventura interesante.,0
English,My dad dislikes laptops.,0
English,My uncle is taking a picture.,0
English,My dad's birthday is next month.,0
Spanish,El final siempre me parece muy dramático.,0
Spanish,"¡Abuela, voy a disfrutar la comida!",1
Chinese,银行,0
Chinese,我爸爸是公务员。,0
Korean,나는 오빠랑 함께 외출하는 것을 좋아해요.,1
English,"Sorry, am I too loud?",0
English,Green apples or yellow apples?,0
Korean,더운 아침,0
Chinese,左手臂,0
Chinese,肉很贵。,0
Spanish,Mi madre es farmacéutica.,0
English,I want to see my uncle's camera.,1
Chinese,"我跟女朋友吵架了,感到很伤心。",0
Korean,우리 엄마는 급하게 내 휴대폰을 찾고 있어요.,1
Chinese,我的学生证在哪里?,1
Chinese,我妈妈匆忙地找我的手机。,0
English,Good morning.,0
Chinese,我妈妈是律师。,0
Italian,il diario dei compiti,1
Spanish,Los nietos hoy tienen mucha tecnología.,0
Korean,"보라 씨, 월요일에 선배를 만났어요?",0
Chinese,暖气的遥控器在桌子上。,0
Korean,아나와 나는 열세 살이에요.,1
Spanish,¡Mamá está en la sala de estar!,0
English,How much valuable stuff did they steal?,0
Korean,나는 학교에서 프랑스어를 배워.,1
English,Look at the next page.,0
English,I play soccer after school.,1
English,My new colleague is thirteen years old.,1
Chinese,现在爷爷在看报纸。,0
Korean,"네, 저는 열세 살이에요.",1
Italian,Non toccare il mio giocattolo!,1
English,My dad is good at doing housework.,0
Chinese,在外面玩。,0
Korean,주말에 책을 많이 읽어요.,0
Chinese,"爷爷,多喝水!",0
Chinese,我的父母和我很矮。,0
Spanish,Mi esposa es tímida.,0
Italian,Il giocattolo è davvero il mio preferito.,1
Spanish,Mi mamá se puso guantes de goma.,1
English,We remember our mothers.,0
Spanish,"Espera, mi mamá tiene algo para la alergia.",1
Spanish,"Abuela, ¿mi paquete está en la puerta?",0
English,"Yes, I cook pasta with my grandma.",0
English,There is some flour in the cabinet.,0
Chinese,星期六去哪里?,0
English,He brings our toys.,1
Spanish,Me siento un poco mareada sentada aquí.,0
English,"Mom, where did you put the bag?",0
Italian,Non voglio condividere il mio libro!,1
Chinese,杯子怎么样?,0
Korean,"아빠, 메리 크리스마스!",1
Chinese,"爸爸,我可以先休息吗?",1
Chinese,这个热狗又贵又难吃。,0
Korean,뉴욕에서 맛있는 음식을 먹었어요.,0
Korean,할아버지랑 같이 가요.,1
Korean,"제 엄마는 진지한데, 그렇지 않아요?",1
Chinese,爸爸吃得很好!,0
Italian,Me lo porta zio.,1
Chinese,外公有一个惊喜!,0
Italian,un aumento giusto,0
Italian,Compio diciotto anni il mese prossimo.,1
Chinese,我总是给孩子送图画书。,0
Chinese,讨厌茶。,0
Korean,나는 새로운 선생님 두 명이 있다.,1
Spanish,Quemaron mi pizza.,0
English,I'm going to my grandmother's house.,0
Korean,친구한테서 미술 교과서를 받았어요.,1
Spanish,Bailo flamenco en mi tiempo libre.,0
Chinese,"奶奶,我的快递在门口吗?",0
Chinese,爸爸用香皂洗头吗?,0
Spanish,¿Tengo el carácter tan serio como la abuela?,0
English,I prefer the other band.,0
English,I want to ask you a question.,0
English,"I'm 14, how about you?",1
English,My aunt and mom didn't spend much money.,0
Korean,이번에 중학교에 들어가서 좋아요?,0
English,Grandfather relatively likes rock music.,0
Chinese,"你好,我是花。",0
English,My husband needed to send an email before bed.,0
Chinese,我每天早上吃八个鸡蛋。,0
English,I would like to send a card.,0
Chinese,我得到了百货商店的礼品卡。,0
Chinese,我们还没有十五岁。,1
Korean,지훈 씨가 숲에서 등산을 했어요.,0
English,I am my parents' daughter.,0
Chinese,民俊已经进电影院了。,0
English,My husband gave me red roses for my birthday. They smell really nice.,0
Chinese,志勋在视频中说了法语。,0
Spanish,"Sí, mi hermano es gracioso.",0
Chinese,"爸爸,多吃一些蔬菜。",0
Italian,"Quando vi incontrate, vi abbracciate.",0
Spanish,"Sí, tengo dieciséis años.",1
Chinese,"奶奶,你需要止汗剂。",0
Italian,uno stato ricco,0
Chinese,"对,我是学生。",0
Korean,"민준 씨, 잡채 드릴까요?",0
English,My grandpa's birthday is on Tuesday.,0
English,"I'm a businessman, so I try to make money!",0
Spanish,Mi mamá va a la farmacia todos los días.,0
Spanish,El vestido es mío.,0
Italian,Il mio vicino vendeva frutta fresca.,0
Spanish,un bolso,0
Spanish,¡Eso huele como nuestra pasta!,0
English,The most interesting man is married.,0
English,"Yes, we are also fifteen years old.",1
Chinese,我是健!,0
Korean,제 여자 친구예요.,0
Chinese,"妈妈,我想吃冰淇淋。",1
English,"Actually, I am thirteen years old.",1
Chinese,新中学的学生多吗?,0
Spanish,Leemos muchos libros sobre los caballos.,0
Chinese,我的学校很老。,1
Spanish,"Mira, mi sobrino es lindo, ¿verdad?",0
Chinese,"爷爷,多吃几个饺子!",0
Chinese,你听摇滚乐吗?,0
Chinese,外公更喜欢看电视。,0
Chinese,十个信封,0
Spanish,Juan y yo no tenemos doce años todavía.,1
Spanish,¿Qué tipo de fiesta le gusta a papá?,0
Spanish,"Más tarde, puse su medicina en la cocina.",0
Italian,la nostra maestra,1
English,My office is downtown on 3rd Street.,0
Italian,"Ha dimenticato il mio compleanno, uffa!",1
English,Max graduated from high school.,0
Chinese,我问了他结果。,0
Korean,우리는 부모님과 애완동물과 함께 살고 있습니다.,1
Spanish,El abuelo también nada.,0
Italian,Quando posso rispondere al messaggio?,0
English,My grandfather is fine.,0
Spanish,Tú a veces necesitas meditación.,0
English,It was an adventure!,0
Spanish,La cena estuvo muy buena.,0
Chinese,这个酒店很小。,0
Chinese,我晴天的日子会打棒球。,0
Spanish,Mi papá es de Seúl.,0
