language,text,true_label
English,My husband has tried a lot of rare food in his life.,0
Italian,Sono tornato a casa felice.,1
English,My husband always has bread and butter for breakfast.,0
Korean,민준 씨는 제 친한 형이에요.,1
Spanish,Mis padres son españoles.,0
English,Please let me know the schedule for tomorrow.,0
Spanish,un sostén cómodo,0
Spanish,Mi proyecto no me hizo millonario.,1
Chinese,我会带时髦的礼服去。,0
Chinese,"你好,我叫王明。",1
English,This is my dad.,0
Spanish,Jamás he sido un ladrón.,1
English,a new program,0
Italian,Sono diventato studente di lingua italiana.,1
Chinese,"民俊,会议在五分钟后吗?",0
Italian,Sara corre nel bosco con la sua tuta.,0
English,I met your mother a long time ago.,0
Chinese,十一月有个婴儿出生了。,0
Spanish,Ellas practican tenis.,0
English,"Luke, I am your father.",1
English,Does the dishwasher work?,0
Italian,A volte mi annoio senza musica.,0
Korean,"선생님, 선풍기가 고장났어요.",0
Korean,"할머니, 제 택배가 문 앞에 있어요?",0
Italian,"Sono pronto a partire, in bocca al lupo!",1
Spanish,Mi novia es simpática.,0
Chinese,唱动漫歌曲吧!,0
English,Ms. Parks worked here when I was a boy.,1
English,My girlfriend rented a house on the beach last month.,0
Korean,제 형은 의사예요.,1
Chinese,我们是男孩。,1
Chinese,那个玩偶最可爱!,0
English,My wife bought me a silk tie.,0
Korean,엄마가 약국에서 약을 사요.,0
Chinese,民俊和安娜现在在一楼!,0
Spanish,No estoy seguro de dónde doblar.,1
English,"Mom, Tom is kicking my chair!",0
Korean,남편은 소파에서 쉬어요.,0
Chinese,我的充电器在我的车里。,0
Spanish,"De niño, odiaba el guiso.",1
Korean,그런데 제 형은 드럼을 안 좋아해요!,1
Spanish,refrigerador viejo,0
Chinese,我的父亲是美国人。,0
Italian,Mi sentivo sereno in piscina.,1
Italian,il giornalista famoso,0
Korean,왜 친구한테 선물을 줘요?,0
English,The guests were surprised when I sang for them. I also surprised my wife with a song!,0
Korean,남자 친구랑 식당에 가요.,0
Spanish,Estoy viudo y a veces me siento solo.,1
English,My wife wants to live on a farm and buy a cow.,0
English,My wife swims every day.,0
Spanish,Este vendedor tiene infusiones.,0
English,I'm David!,1
English,"Wow, this guy is really handsome.",0
Spanish,"Abuelo, por favor dame la bolsa.",0
Italian,mi siedo tranquillo,1
Chinese,我男朋友是一个认真的人。,0
Spanish,¿Tienes problemas con la calefacción también?,0
Italian,Avranno biglietti per il museo domani?,0
Chinese,昨天敏俊去买菜了吗?,0
Italian,Questo gioiello di metallo è della nonna.,0
Chinese,我的祖父已经老了。,0
English,"I'm a businesswoman, so I understand business!",0
English,I'm not busy.,0
Chinese,我们应该考虑哪些问题?,0
Chinese,我爸爸经常锻炼。,0
Chinese,明天听收音机。,0
Spanish,Esta etiqueta es para ti.,0
Spanish,Yo vivo solo aquí.,1
English,He is my husband.,0
Chinese,我爷爷很害羞。,0
English,Mom is going to give money to my younger sibling.,0
Spanish,¿Bebes agua?,0
Italian,Sono fiero di presentare la mia ricerca.,1
Chinese,我的孙子们拥有比我曾经拥有的更多的玩具。,0
Spanish,Nadie es tan honesto como mi abuela.,0
Korean,제 외할머니,0
Chinese,妻子在沙发旁边看书。,0
Spanish,Mi mamá va a la farmacia todos los días.,0
Chinese,我是民俊。,1
Spanish,La cena fue realmente inolvidable.,0
Spanish,"Estoy aburrido, la película es lenta.",1
Spanish,La peluquería es nueva.,0
Korean,여섯 살,0
Chinese,你哥哥上班需要十分钟吗?,0
Korean,피터 씨도 초대하고 사촌 형도 초대할 거예요.,1
Chinese,我妻子在桌子旁边看报纸。,0
English,There aren't many businesswomen like me.,0
Spanish,Aprendo en el estudio de mi tío.,0
Chinese,爸爸，我不想吃早饭。,0
Spanish,Mi novio y yo pintamos en invierno.,0
Spanish,Mis hijos son inteligentes.,0
Chinese,"前天我在加班,我老婆在逛街。",0
English,My wife likes rock and hip-hop.,0
Spanish,Mi gemelo nunca encuentra nada.,1
Spanish,Jamás lo vi tan oscuro como aquí.,0
Italian,Sei stato coraggioso a ordinare la pizza più grande.,1
English,"I'm a businessman, so I try to make money!",1
Chinese,秋天我和妻子一起在公园散步。,0
Chinese,爷爷的生日在三月吗?,0
Spanish,Necesitamos una presentación breve.,0
English,Thousands of kids attended the protest. They're refusing to go to school until the government promises to protect the environment better.,0
Spanish,"Al final, pude cuidar bien a todos.",0
Spanish,Me gusta afeitarme completamente la cara.,1
English,Of course I love my wife.,0
Chinese,我弟弟是学校里最高的!,0
Italian,un istruttore bravo,0
Italian,essere un influencer,0
Korean,매형은 예전에 꿈이 뭐였어요?,1
Chinese,我吃饱了。,0
Spanish,Yo he hablado con el dueño esta semana.,0
Italian,Non sono sicuro se voglio il formaggio secco.,1
English,I sing and my husband dances.,0
Italian,Ci sono stati errori nel progetto.,0
Spanish,"Sí, tengo experiencia como maestra.",0
Spanish,Juan evita el caramelo por su salud.,0
Korean,특히 수학 시험이 많이 어려웠어요.,0
English,"Oh, my pen is in your bag!",0
English,Everyone loves Japanese cartoons!,0
Spanish,Estoy parado y me duele la espalda.,1
English,"No, I'm not a tourist.",0
Spanish,"Yo tengo cuatro sobrinos, ¿y tú?",0
Chinese,茶很凉。,0
English,My husband works opposite the police station.,0
Korean,어떻게 아기를 키워요?,0
English,Grandpa still hikes faster than us!,0
English,I paid a lot.,0
English,"I'm tired, so I'll order an espresso.",0
Spanish,Mi abuela está feliz en la fiesta.,0
Spanish,"Cuando era niño, odiaba el atún.",1
Spanish,"Antes de conocer a mi marido, vivía sola.",0
English,We are new students.,0
Spanish,Hay animales peligrosos aquí.,0
Chinese,我的学校很老。,0
Korean,이분은 제 형이 아니에요.,1
Chinese,田中先生是中国人。,0
Spanish,¿Tu mamá y tu novia son de Alemania?,0
Spanish,No resuelvo todo yo solo.,1
Spanish,Vimos películas hasta tarde.,0
Italian,"Mi sono perso, come arrivo al museo?",1
English,The most interesting man is married.,0
Chinese,我和安娜都是十三岁。,0
Chinese,我的男朋友来自罗马。,0
Chinese,我的女儿会弹钢琴。,0
Italian,Sono andato subito alla stazione di polizia.,1
Chinese,我的丈夫在晚上听到奇怪的噪声。,0
Chinese,我想邀请我的女朋友。,0
Spanish,Pasé la pelota con fuerza.,0
Korean,형은 방에서 공부해요.,1
Chinese,新中学的学生多吗?,0
Korean,형은 학생이 아니에요.,1
Chinese,女儿，先擦窗户。,0
Spanish,¿Qué necesitas para la clase de arte?,0
English,My boyfriend and I watched an Italian movie.,0
English,My office is downtown on 3rd Street.,0
Chinese,糟糕，我还没复习好历史。,0
Spanish,A mi papá le gustan las flores.,0
Korean,누나는 요리해요.,1
Spanish,"No era malo, solo tenía ideas diferentes.",0
Spanish,"Ay, ¿dónde está mi vestido?",0
Chinese,姐姐什么时候穿韩服?,0
Chinese,水很凉。,0
Spanish,Ellos quieren que yo sea padre.,1
Italian,Non sono sicuro se si chiama così.,1
Chinese,我想准备一个语言项目。,0
Italian,"Dopo, ci siamo preparati gli zaini.",0
Chinese,哥哥什么时候去学校?,0
Italian,Sono meno appassionato di teatro.,1
Spanish,Necesito una corbata roja.,0
Chinese,"你好,我的名字是民俊。",1
Spanish,La colonia es grande.,0
Spanish,Mi papá es funcionario.,0
Spanish,Anotar las calorías me ayudó mucho.,0
Spanish,Mi vestido está aquí.,0
Italian,Perché ti hanno licenziato?,0
English,We are boys.,1
Korean,형은 콘서트를 자주 해요.,1
Spanish,¿Debo darte propina por afeitarme?,1
Korean,수능 때 많이 떨렸어요.,0
Korean,우리 아이가 한 달 동안 많이 컸어요.,0
English,Being 80 years old is the reason I'm in pain!,0
Spanish,¿Viste los lentes de mi gemelo?,1
Italian,Non voglio consegnare tutto da solo.,1
Korean,제 형은 가끔 샤워해요.,1
Italian,Sono andato spesso a ovest di Roma.,1
Italian,una brava ministra,0
Italian,Bevo acqua per restare sano.,1
Italian,come una regina,0
Spanish,¿Tengo que afeitarme para ese estilo?,1
English,My wife has swum across every ocean in the world!,0
Chinese,餐桌、椅子,0
English,"Unemployment is increasing, and our president doesn't care!",0
English,My husband laughed when this happened.,0
Italian,"Aiuto, hanno rubato una banconota dal portafoglio!",0
Spanish,"Él dice que no miente, pero no estoy seguro.",1
Korean,오빠랑 같이 가요.,0
Chinese,我爸爸的腿经常疼。,0
Spanish,Voy a casa de mi abuela.,0
Korean,엄마가 소다를 좋아해요.,0
Spanish,Mi abuela es tímida.,0
Chinese,京都是个小城市吗?,0
English,This is my baby.,0
Italian,Dipingo come un vero artista.,1
English,Don't forget your keys.,0
English,We'll need another racket if we're playing tennis tomorrow.,0
Korean,지금 우리는 손자 열한 명을 가지고 있습니다.,0
Spanish,¿Y nuestras calificaciones?,0
Spanish,¿Hay una peluquería allí?,0
English,My husband needed to send an email before bed.,0
English,"Hi, my name is Anna.",0
English,Grandma loves this bracelet the most.,0
Spanish,Solo nuestro maestro enseña bien.,0
Spanish,"No, mi novio no patina bien.",0
Chinese,赵小月在日本留过学。,0
Chinese,再次见到女朋友我感到非常高兴!,0
Korean,친한 형,1
English,He sends me flowers each week because he's romantic.,0
English,There will be a special dinner.,0
Korean,언니는 추석을 좋아해요!,0
Chinese,在那个村子住了两天。,0
Chinese,我和我的妻子锻炼得很多。,0
Spanish,Hablo con el técnico.,0
English,I'm going to tell Mom that you ripped my new skirt!,0
Chinese,你好，波拉!,0
Korean,부지런한 형,1
Chinese,"你好,我是健!",1
Chinese,爸爸认真地在洗碗。,0
English,"Hi, my name is David!",1
Chinese,我是她弟弟。,1
Italian,Posso riparare il pulsante da solo.,1
Spanish,No necesito afeitarme el cuello hoy.,1
Korean,언니는 미역국을 좋아해요?,0
Chinese,我问了他结果。,0
Korean,누나와 고양이,1
Spanish,Hago senderismo solo a veces.,0
English,"Sorry, my boyfriend left his skateboard in your room.",0
Korean,책을 빌리러 형의 집에 가요.,1
English,My wife is not much happier.,0
English,We had a picnic and watched the ducks.,0
English,Grandpa has lived here since nineteen sixty.,0
Chinese,有一个孩子。,0
Korean,형이랑 저는 공원에서 넘어졌어요.,1
Italian,Sono preoccupato per il conto in banca.,1
English,My ex-girlfriend called me yesterday.,0
Chinese,我身体不舒服，也不饿。,0
Korean,이 트럭이 트럭 중에 제일 커요.,0
Chinese,我是健!,1
Chinese,皮特和哥哥是哪个级别?,0
Spanish,Muchas personas musulmanas asistieron.,0
Italian,Non ero sempre sereno durante le partite di rugby.,1
Spanish,Mi esposa es tímida.,0
English,My mom likes bitter coffee!,0
Spanish,Mis sobrinas practican tenis.,0
Spanish,Vi a mi gemelo en la cocina.,1
English,You look like my next boyfriend.,0
English,"Yes, the boss is ready now.",0
Chinese,我要邀请姐姐参加派对。,0
English,My wife has an allergy to fish.,0
Spanish,Incluyeron varios idiomas en el programa.,0
English,I am going to bring two swimsuits.,0
Italian,sono allergico,1
Chinese,母亲的故乡,0
Korean,피터 씨랑 형은 레벨이 뭐예요?,1
Chinese,你姐夫是怎么决定职业的?,0
Chinese,我的父母是西班牙人。,0
Korean,"네, 오늘은 보라 씨의 생일이에요.",0
Korean,형이랑 여동생이랑 같이 말했어요?,1
Korean,제 형은 부지런한 교수예요.,1
Chinese,飞机十二点起飞，对不对?,0
Italian,Sono diventato manager.,1
Chinese,"我叫里奥,你呢?",1
Italian,una ladra veloce,0
Italian,"Grazie per la torta, sono sorpreso!",1
Chinese,我跟女朋友吵架了，感到很伤心。,0
Chinese,"奶奶,我们需要奶油吗?",0
Korean,형은 어디에 있어요?,1
Spanish,Necesito dos faldas.,0
English,I have gotten awards since elementary school.,0
Korean,형을 만나러 식당에 가요.,1
Spanish,¡Tengo clase de matemáticas pronto!,0
Chinese,我总是给孩子送图画书。,0
Chinese,"你好,我是山姆。",1
Spanish,"Sí, Diego, Luis y yo somos hermanos.",1
English,my new university,0
English,"Hi, my name is David.",1
English,My wife often swims.,0
English,"Grandpa, do you need any envelopes?",0
Korean,누나는 가끔 운동해요.,1
English,"I like basketball, but my wife likes soccer.",0
Chinese,总是一个人旅行。,0
English,This girl loves me.,0
Chinese,姐姐也会穿韩服吗?,0
English,I am not going to forget my swimsuit.,0
Chinese,我儿子不吃肉。,0
Chinese,伊丽莎白是我的女朋友。,0
Korean,언니는 일주일 동안 집 안에 있었어요.,0
English,My husband often sings at home.,0
Chinese,安娜，你也有公交卡吗?,0
English,My wife and I grilled fish and watched a movie.,0
Chinese,我和男朋友一起学习。,0
Spanish,Ahora tenemos tres hijas y nueve nietos.,0
Chinese,领带太短了。,0
Italian,Vorrei visitare l'Europa quest'anno.,0
Spanish,Bebí un poco de vino en la fiesta.,0
Chinese,我称赞了男朋友的美味巧克力。,0
Italian,Lei ha una borsa dorata.,0
Chinese,敏俊在手上贴了创可贴。,0
Korean,아내랑 함께 문 앞에서 춤춰요.,0
English,This dress costs twenty dollars.,0
English,"We haven't kissed yet, but Tom Hanks is my boyfriend!",0
Spanish,"Sí, mi amigo tiene cinco años.",0
Spanish,Los nietos comen más dulces que frutas.,0
Italian,Preferisci divertirti con gli amici o da solo?,0
Spanish,Como carne todos los días.,0
Spanish,Mi amigo conoce a un camarero.,0
English,I speak English with my teacher.,0
English,"If we're in danger, we can call the president!",0
Chinese,我父母给我们寄礼物。,0
Korean,안나 씨는 반창고가 없어요?,0
Chinese,民俊努力地洗衣服。,0
English,"Yes, my wife likes American food.",0
Chinese,我丈夫会定期更换花瓶里的水。,0
Spanish,"Sí, mi novia nada a menudo allí.",0
Chinese,他们是什么时候分手的?,0
Spanish,No quiero mantequilla en mi cocina.,0
Chinese,爸爸不喜欢鞋子。,0
Chinese,我老公每天都加班。,0
Chinese,"嗨,我叫王明。",1
Chinese,我的男朋友每周五看马泰奥。,0
Spanish,"Bueno, mi esposa siempre hace ejercicio.",0
Spanish,¡Muy impresionante!,0
Spanish,¿Qué hiciste tú el primer mes del semestre?,0
Italian,Sono così sorpreso da questa festa!,1
English,My wife made it. She's very creative.,0
Italian,Uso meglio il mio computer da solo.,1
English,for the holidays,0
Chinese,我的孙子们爱我。,0
Korean,제 형은 대학생이 아니에요.,1
Spanish,Mi gemelo me molesta.,1
Italian,Con chi giocavi da bambino in Italia?,0
English,My boyfriend was in Mexico last winter.,0
Spanish,"Hace dos días, encontré mi vestido anaranjado para la boda.",0
English,Do you need more eggs?,0
Spanish,Estoy confundido sobre mi estado civil.,1
Chinese,我马上有数学课!,0
Chinese,姐姐是老师。,0
Spanish,Mi gemelo siempre pierde cosas.,1
