language,text,true_label
Spanish,¿Comes fruta?,0
Spanish,La peluquería es nueva.,0
Spanish,¿Viste los lentes de mi gemelo?,0
Korean,거미 한 마리,0
Chinese,伊丽莎白是我的女朋友。,0
Korean,여자 신발이 어디에 있어요?,0
Chinese,我的孙子们跑得比我快。,0
English,The guests were surprised when I sang for them. I also surprised my wife with a song!,0
Spanish,"Mira, mi sobrino es lindo, ¿verdad?",0
Chinese,昨天也吃了日本料理。,0
Spanish,El policía ha recibido un paquete extraño.,0
Spanish,"Mi esposo es simpático, ¿no crees?",0
Chinese,我晴天的日子会和哥哥去游泳池。,0
English,Mom is not happy about my grades!,0
Spanish,"Sí, tengo experiencia como maestra.",1
Spanish,Nuestro hijo y su mujer tuvieron que mudarse.,0
Italian,Sono tornata ieri sera.,1
English,"I'm Sara, and I love soccer!",1
Chinese,我的孙子们拥有的玩具比我曾经拥有的更多。,0
Chinese,宝拉的手机真的很结实。,0
Spanish,"Abuela, tú no comes mayonesa.",0
English,My boyfriend cleans every day.,0
Spanish,Mi hermana se parece mucho a mamá.,0
Spanish,Este año estoy demasiado frustrada.,1
English,Please let me know the schedule for tomorrow.,0
Chinese,昨天敏俊去买菜了吗?,0
Italian,"Non ti riposi abbastanza, figlio mio.",0
Italian,il tuo phon,0
Korean,언니도 한복을 입을 거예요?,1
Chinese,我爷爷很害羞。,0
Spanish,"Hace dos días, encontré mi vestido anaranjado para la boda.",0
Italian,Mi sono persa e non trovo il mio hotel.,1
English,I sing and my husband dances.,0
Italian,Le pastiglie sono sulla mia lista per il dottore.,0
Spanish,Jamás lo vi tan oscuro como aquí.,0
Spanish,¡Tengo una novia increíble!,0
Korean,"그럼요, 여름이 제일 길어요!",0
English,Everyone loves Japanese cartoons!,0
English,My husband is a scientist.,0
Spanish,No van a tener estabilidad con ese presidente.,0
English,My wife woke up before me yesterday.,0
Spanish,Mi novia es alemana.,0
Chinese,糟糕，我还没复习好历史。,0
English,I'll come again for Grandma's birthday.,0
Korean,매형은 예전에 꿈이 뭐였어요?,0
English,I study art at school.,0
English,I am not going to forget my swimsuit.,0
English,My mom likes bitter coffee!,0
Spanish,Mi abuela está feliz en la fiesta.,0
Spanish,Me gusta afeitarme completamente la cara.,0
Spanish,Ahora sirvo para enviar proyectos.,0
English,I have a bad cold.,0
Spanish,El arroz bien cocido era mi favorito.,0
Chinese,我跟女朋友吵架了，感到很伤心。,0
Korean,우리 아이가 한 달 동안 많이 컸어요.,0
Chinese,你好，我是山姆。,0
Spanish,"Sabes, tenía muchos problemas.",0
Spanish,Necesito una corbata roja.,0
Spanish,"Mira, ¡hay peces en el mar!",0
Italian,Sono sicura che daremo il regalo domani.,1
English,Will I need a swimsuit?,0
Chinese,我也想快点成功!,0
Chinese,我的学校很老。,0
Chinese,我儿子不吃肉。,0
Italian,Sono andata con Marco.,1
Chinese,安娜已经回宿舍了!,0
Chinese,领带太短了。,0
Spanish,Mi novio es gracioso.,0
Korean,오빠랑 같이 가요.,1
Chinese,星期二的课程表太长了!,0
Korean,오빠는 쌀을 샀어요?,1
Chinese,明天听收音机。,0
Spanish,Necesito dos faldas.,0
English,My mom likes white flowers.,0
English,I swam in the sea more often than my husband did.,0
Chinese,这个很难吃。,0
Spanish,El vestido es mío.,0
Korean,아내는 소파 옆에서 책을 읽어요.,0
Spanish,¿Recuerdas cuando éramos niños?,0
Spanish,El cuchillo es negro.,0
Chinese,那个玩偶最可爱!,0
Chinese,宝拉先生的爸爸是律师吗?,0
Spanish,Como carne todos los días.,0
Italian,Nessuna di noi ha il pane giusto.,1
Chinese,我和男朋友一起学习。,0
Italian,Noi vedremo molti insetti nel prossimo evento.,0
Chinese,女装在三楼吗?,0
Italian,Siamo state invitate a un pranzo.,1
Spanish,Pasé la pelota con fuerza.,0
Chinese,我叫李天美。,1
Spanish,¿Dónde está mi vestido?,0
Spanish,Hay animales peligrosos aquí.,0
Spanish,¿Qué necesitas para la clase de arte?,0
Spanish,¿Prefieres en la tarde o en la noche?,0
Italian,un paio scomodo,0
English,I'm an actress at the theater downtown.,1
Korean,언니는 언제 한복을 입을 거예요?,1
Spanish,"Sí, yo bailo salsa con mi novio.",0
Korean,보라 씨도 심심해요?,0
Korean,형이랑 저는 돈을 많이 안 썼어요.,0
English,My wife likes to swim.,0
Spanish,"Mi esposo es tímido, como yo.",0
Italian,Mi sono preparata bene.,1
Korean,아빠는 부엌에서 설거지해요.,0
Italian,Noi siamo arrivate tardi.,1
Italian,I miei figli fanno merenda alle quattro.,0
Italian,Tutte noi siamo uscite a mangiare insieme.,1
Italian,"Dopo, ci siamo preparati gli zaini.",0
Spanish,Mi hermano es cocinero.,0
English,"Oh, my wife is so sweet!",0
Chinese,老婆给我煮了饺子。,0
English,My dad went to a restaurant yesterday to eat samgyetang.,0
English,My husband laughed when this happened.,0
Italian,Si sono trovate scomode.,0
Spanish,Nosotras somos morenas.,1
Korean,엄마가 소다를 좋아해요.,0
Chinese,飞机十二点起飞，对不对?,0
Spanish,Los parques están cerca de aquí.,0
Korean,남편이 싱크대 앞에서 커피를 만들어요.,0
Spanish,Mis hijos son inteligentes.,0
Chinese,唱动漫歌曲吧!,0
English,"Unemployment is increasing, and our president doesn't care!",0
Italian,"Insomma, sono più felice da sola.",1
English,"No, he can't lift heavy books.",0
English,My wife made it. She's very creative.,0
Korean,나는 올해 열네 살입니다.,0
Spanish,Mis padres asistieron a la ceremonia.,0
Spanish,¿Votaste por el alcalde?,0
English,"Yes, Sofia is strange, but she is my wife!",0
English,I have twelve grandsons!,0
English,"I don't want a boyfriend, I want a husband!",0
Spanish,¡El cumpleaños de la abuela es en marzo!,0
Spanish,"Yo tengo cuatro sobrinos, ¿y tú?",0
Chinese,我的女朋友很兴奋!,0
Chinese,哥哥喜欢韩国语说唱吗?,0
Korean,지훈 씨는 브이로그에서 광고를 했어요?,0
English,"No, my husband doesn't speak German.",0
English,Who's planning the trip next month?,0
Korean,감사합니다.,0
Chinese,我的祖父已经老了。,0
Chinese,嗨，我叫王明。,0
Spanish,Ella tiene un virus.,0
English,Mom is in the living room!,0
Chinese,白，红，蓝,0
Korean,저는 보라예요.,0
Chinese,我叫李天美，你呢?,1
Chinese,茶很凉。,0
English,"Hello, my name is Sara.",1
Chinese,对，我是孙丽丽。,1
Italian,"Mi sono persa, dov'è la stazione?",1
Spanish,Nos compraron dulces a nosotras.,1
Korean,제 친구는 다섯 살이에요.,0
Chinese,我的男朋友来自罗马。,0
Korean,사촌 언니의 아기가 태어났어요!,1
Spanish,Aprendo en el estudio de mi tío.,0
English,My wife and I grilled fish and watched a movie.,0
Korean,언니는 미역국을 좋아해요?,1
English,I met your mother a long time ago.,0
English,My wife bought me a silk tie.,0
English,Grandma loves this bracelet the most.,0
Chinese,我今天不想化妆了。,0
Korean,언니의 아기는 항상 웃어요.,1
Italian,Mi sono riposata sotto le stelle.,1
English,There will be a special dinner.,0
Chinese,我喜欢这个作家，我老婆也喜欢他。,0
Korean,안나 씨는 반창고가 없어요?,0
Chinese,我叫爱丽丝。,1
Chinese,我身体不舒服，也不饿。,0
Spanish,Mis sobrinas practican tenis.,0
Italian,Nessuna di noi è felice con questo menù.,1
Spanish,Mi gemelo siempre pierde cosas.,0
English,Let's open the curtains.,0
Spanish,¿Bebes agua?,0
Spanish,Mi esposo me prepara el almuerzo.,0
English,"Now, my wife would really like that!",0
English,I'm the person who grills in my family.,0
Chinese,水很凉。,0
English,"I'm tired, so I'll order an espresso.",0
Spanish,Empezamos a trabajar temprano.,0
English,"Hi, my name is David!",0
Italian,Ha lavorato come segretaria per cinque anni.,1
Chinese,女儿，先擦窗户。,0
Korean,언니 집에서 떡을 만들 거예요.,1
Chinese,她是我的约会对象。,0
Chinese,嗯，我还没有十岁!,0
Korean,"할머니, 제 택배가 문 앞에 있어요?",0
Korean,"피터 씨, 저는 보라예요.",0
Korean,언니는 추석을 좋아해요!,1
Chinese,我女朋友最喜欢吃辣炒年糕，所以我现在在等她。,0
Italian,Sono stata a una festa.,1
Chinese,你好，我是波拉。,1
Italian,Gli amici si incontravano al parco centrale.,0
Italian,È tardi e mi sono persa in questo quartiere.,1
Chinese,我想邀请我的女朋友。,0
Chinese,爸爸和妈妈是在公园里第一次见面的。,0
Korean,내일 아침에 누가 오빠를 도와줄 거예요?,1
Spanish,Este vendedor tiene infusiones.,0
English,None of my tools are in my garage!,0
Korean,형은 어때요?,0
Spanish,Mi gemelo me molesta.,0
Chinese,我的男朋友每周五看见马泰奥。,0
Chinese,我叫玛利亚。,1
Spanish,"Hola, ¡yo soy María!",1
English,We both like that player.,0
English,There aren't many businesswomen like me.,1
English,My husband was in Latvia on the eighth of April.,0
English,"When your mom and I got married, we didn't want to have a busy honeymoon. We just wanted to go somewhere nice and peaceful.",0
Korean,"안녕하세요, 저는 보라예요!",0
English,"My husband is a pilot, so I travel a lot.",0
Chinese,嗯，我想要笔。,0
English,I speak English with my teacher.,0
Chinese,我想看那个公寓。,0
English,My girlfriend rented a house on the beach last month.,0
Chinese,我女儿擅长空手道。,0
Chinese,淋浴后，擦这个药。,0
Korean,우리 이웃은 조용해요.,0
English,Mom is going to give money to my younger sibling.,0
Chinese,星期天下午我通常和丈夫一起打扫房间。,0
English,I'm making apple jelly.,0
Chinese,如今我的孙子们拥有很多科技产品。,0
Spanish,Es lenta y aburrida.,0
Chinese,儿子不喝牛奶。,0
Italian,Potrei pagare con la carta di credito?,0
Spanish,Ser malcriado me hacía evitar las frutas.,0
Chinese,我爸爸经常锻炼。,0
Italian,Sono orgoglioso del tuo lavoro.,0
Chinese,李天美也许会去游泳。,0
Korean,어제도 남편이랑 동네의 길을 걸었어요.,0
English,He just put the blanket in the sun.,0
English,"My ex-wife's dream was to become rich, but I didn't agree with her.",0
Spanish,Mi hermana pequeña es tan honesta como mi abuela.,0
Spanish,"Estoy confundido, ¿dónde tengo que doblar?",0
Italian,Preferisco questo film a quell'altro.,0
Spanish,Necesito una falda también.,0
Spanish,Vamos a trabajar duro por dos meses.,0
English,"Dad, you take a shower first!",0
English,"Yes, my mom is a doctor.",0
Chinese,外婆需要餐具。,0
Korean,지금 우리는 손자 열한 명을 가지고 있습니다.,0
Chinese,我的名字是玛利亚。,1
English,Is this the homework?,0
Chinese,我的妻子越来越漂亮了!,0
Spanish,La fiesta de mi mamá es el quince de junio.,0
Chinese,吃饭的时候，别看电视!,0
Spanish,Mi hija es graciosa.,0
Chinese,王明和我都是学生。,0
Chinese,我的男朋友来自博洛尼亚。市中心非常可爱!,0
Chinese,我是波拉。,1
Chinese,老公会帮我买口罩。,0
Spanish,La cena fue realmente inolvidable.,0
Spanish,Los perros comen los animales muertos.,0
Spanish,"¡Guau, es un monumento grande!",0
Italian,Mi sono persa nel bosco una volta.,1
English,My husband always has bread and butter for breakfast.,0
Italian,Ho iniziato come operaia per imparare di più.,1
English,Thousands of kids attended the protest. They're refusing to go to school until the government promises to protect the environment better.,0
Chinese,我没穿高跟鞋。,0
Korean,언니는 일주일 동안 집 안에 있었어요.,1
Spanish,"Él dice que no miente, pero no estoy seguro.",0
Italian,Pisa è una città storica e affascinante.,0
English,I'm going to ask my friend about the schedule for tomorrow.,0
Spanish,"Yo no soy presidente, pero trabajo duro.",0
English,I found a knife under the fridge.,0
Spanish,"De niñas, soñábamos con tener un caballo.",1
Chinese,奶奶，我们需要奶油吗?,0
Chinese,我和丈夫在星期六有空闲时间，所以和猫一起玩耍。,0
Spanish,Nosotras cantamos en este teatro.,1
